"id","project_code","year_of_subsidy_sanct","state_name","state_code","district_name","district_code","agency","supported_by","beneficiary_name","project_address","current_status","project_cost","amount_sanct"
705,"AHM-CS-27","2001-02","Gujarat","24","Rajkot","457","NHB","Through NABARD","M/s.Hasnain CS Pvt. Ltd.","GIDC, Plot no.1032, Lodhika Industrial Estate, Metoda","Completed",0.0,10.78
706,"24GJ20010000143","2001-02","Gujarat","24","Mahesana","451","NHB","NHB","Umiya Cold Storage","Mehsana (MH )","Completed",0.0,27.32
707,"24GJ20010000122","2001-02","Gujarat","24","Ahmadabad","438","NHB","NHB","Vinod Cold Storage","Ahmedabad (Gujrat)","Completed",0.0,11.67
708,"AHM-CS-34","2001-02","Gujarat","24","Gandhinagar","446","NHB","Through NABARD","M/s.Potato Growers Coop. Soc","Pethapur","Completed",0.0,25.5
709,"AHM-CS-38","2001-02","Gujarat","24","Mahesana","451","NHB","Through NABARD","M/s.Kedarnath CS Pvt. Ltd.","Boru, Vijapur ","Completed",0.0,34.15
710,"AHM-CS-39","2001-02","Gujarat","24","Ahmadabad","438","NHB","Through NABARD","M/s Hapa cold storage ( Exp )","Naroda","Completed",0.0,14.49
711,"AHM-CS-36","2001-02","Gujarat","24","Mahesana","451","NHB","Through NABARD","M/s.Umiya CS","Khanusa, Tal. Vijapur","Completed",0.0,44.65
712,"AHM-CS-31","2001-02","Gujarat","24","Anand","440","NHB","Through NABARD","M/S Amar CS (Expan & Modern.)","Vill. Lambhvel,Tal. Anand","Completed",0.0,3.97
713,"AHM-CS-33","2001-02","Gujarat","24","Banas Kantha","441","NHB","Through NABARD","M/s.Jay Preservation","GIDC, Chandisar, Tal. Deesa","Completed",0.0,22.92
714,"AHM-CS-24","2001-02","Gujarat","24","Kheda","450","NHB","Through NABARD","M/s Radhakrishnan CS","Kanjari, Tal. Nadiad, Distt. Kheda","Completed",0.0,16.93
715,"AHM-CS-41","2001-02","Gujarat","24","Gandhinagar","446","NHB","Through NABARD","M/s Soham CS","Adalaj, Sarkhej Gandhinagar Highway","Completed",0.0,30.92
716,"AHM-CS-23","2001-02","Gujarat","24","Banas Kantha","441","NHB","Through NABARD","M/s Amardeep CS","Tal. Deesa,","Completed",0.0,28.82
717,"AHM-CS-35","2001-02","Gujarat","24","Ahmadabad","438","NHB","Through NABARD","M/s.Hira CS Pvt. Ltd.","Naroda,GIDC","Completed",0.0,28.01
718,"AHM-CS-46","2001-02","Gujarat","24","Banas Kantha","441","NHB","Through NABARD","M/s Maruti CS","Jorapura, Tal. Deesa","Completed",0.0,34.97
719,"AHM-CS-44","2001-02","Gujarat","24","Gandhinagar","446","NHB","Through NABARD","M/s Kalindi CS Pvt. Ltd.","PO Saragasan, Adalaj, Sarkhej Gandhinagar Highway","Completed",0.0,21.23
720,"AHM-CS-42","2001-02","Gujarat","24","Gandhinagar","446","NHB","Through NABARD","M/s Shri Krishna CS (EXP)","Vill. Sampa, Tal. Dehgam","Completed",0.0,21.8
721,"24GJ20020000126","2002-03","Gujarat","24","Ahmadabad","438","NHB","NHB","Jayaram & Company Pvt. Ltd.","Ahmedabad","Completed",0.0,18.75
722,"24GJ20020000123","2002-03","Gujarat","24","Anand","440","NHB","NHB","Kamal Cold Storage Anand","Anand (Gujrat)","Completed",0.0,19.68
723,"24GJ20020000128","2002-03","Gujarat","24","Surat","459","NHB","NHB","Kisan Cold Storage","Surat (Gujrat)","Completed",0.0,18.43
724,"24GJ20020000129","2002-03","Gujarat","24","Rajkot","457","NHB","NHB","Shree Giriraj Cold Storage","Rajkot (Gujrat)","Completed",0.0,27.76
725,"24GJ20020000124","2002-03","Gujarat","24","Gandhinagar","446","NHB","NHB","Shree Prabhukrishan Agro Products Pvt. Ltd .","Gandhinagar (Gujrat)","Completed",0.0,18.14
726,"24GJ20020000127","2002-03","Gujarat","24","Amreli","439","NHB","NHB","Shriji Cold Storage","Amreli (Gujrat)","Completed",0.0,17.66
727,"24GJ20020000125","2002-03","Gujarat","24","Ahmadabad","438","NHB","NHB","Vinod Cold Storage","Ahmedabad (Gujrat)","Completed",0.0,11.67
728,"AHM-CS-47","2002-03","Gujarat","24","Banas Kantha","441","NHB","Through NABARD","M/s Banas CS","Nani Akhol, Nr. Radhanpur Highway, Deesa","Completed",0.0,38.19
729,"AHM-CS-48","2002-03","Gujarat","24","Banas Kantha","441","NHB","Through NABARD","M/s Navbharat CS","Jorapura, Tharad Highway, Deesa","Completed",0.0,50.0
730,"AHM-CS-52","2002-03","Gujarat","24","Rajkot","457","NHB","Through NABARD","M/s Rajendra CS","GIDC Metoda, Tal. Lodhika","Completed",0.0,27.76
731,"AHM-CS-49","2002-03","Gujarat","24","Banas Kantha","441","NHB","Through NABARD","M/s Raviraj CS","Borat Road, Akola, Deesa","Completed",0.0,42.08
732,"AHM-CS-58","2002-03","Gujarat","24","Banas Kantha","441","NHB","Through NABARD","M/s Natraj Cs(Exp)","Deesa - Palanpur Highway","Completed",0.0,15.92
733,"AHM-CS-57","2002-03","Gujarat","24","Banas Kantha","441","NHB","Through NABARD","M/s Shree Ganesh Cs(Exp)","Deesa - Palanpur Highway","Completed",0.0,18.39
734,"AHM-CS-59","2002-03","Gujarat","24","Banas Kantha","441","NHB","Through NABARD","M/s Kesar CS","Deesa Palanpur Highway,Tal. Deesa","Completed",0.0,7.83
735,"AHM-CS-54","2002-03","Gujarat","24","Ahmadabad","438","NHB","Through NABARD","M/s Shree Shiv Shakti Ice plant and Cold storage","GIDC, Vatva ","Completed",0.0,7.87
736,"AHM-CS-43","2002-03","Gujarat","24","Gandhinagar","446","NHB","Through NABARD","M/s Abhimanyu CS Pvt. Ltd.","Vill. Sampa, Tal. Dahegam,","Completed",0.0,41.25
737,"AHM-CS-56","2002-03","Gujarat","24","Gandhinagar","446","NHB","Through NABARD","M/s Shivkrupa CS (Exp.)","Adalaj","Completed",0.0,7.85
738,"AHM-CS-60","2002-03","Gujarat","24","Banas Kantha","441","NHB","Through NABARD","M/s Sundaram CS","Tal. Deesa","Completed",0.0,45.84
739,"AHM-CS-45","2002-03","Gujarat","24","Anand","440","NHB","Through NABARD","M/s Kamal Cold Storage","Mogar","Completed",0.0,0.0
740,"AHM-CS-55","2002-03","Gujarat","24","Patan","455","NHB","Through NABARD","M/s Paladia CS Pvt. Ltd.(Exp)","Brahmanwada, Unjha - Sidhpur Highway","Completed",0.0,19.48
741,"AHM-CS-61","2002-03","Gujarat","24","Ahmadabad","438","NHB","Through NABARD","M/s Padmavati Ice and CS Pvt. Ltd.(Exp and Mod)","S No. 76/P, National Highway no.8, Naroda Road, Saijpur Bogha","Completed",0.0,7.56
742,"AHM-CS-62","2002-03","Gujarat","24","Gandhinagar","446","NHB","Through NABARD","M/s Nasim Cold Storage P Ltd.","Vill. Sanathal, Tal. Sanand, Distt. Ahmedabad","Completed",0.0,47.79
743,"AHM-CS-63","2002-03","Gujarat","24","Banas Kantha","441","NHB","Through NABARD","M/s Maruti Cold Storage (expansion)","Jorapura, Tal. Deesa","Completed",0.0,15.03
744,"AHM-CS-64","2003-04","Gujarat","24","Ahmadabad","438","NHB","Through NABARD","Sahajanand Cold Storage Pvt. Ltd. ( Expn. & Modernisation)","Naroda","Completed",0.0,4.54
745,"24GJ2003000053","2003-04","Gujarat","24","Jamnagar","447","NHB","NHB","Bharat Cold Storage","Jamnagar ","Completed",0.0,1.52
746,"24GJ2003000054","2003-04","Gujarat","24","Jamnagar","447","NHB","NHB","Bharat Ice Factory","Jamnagar ","Completed",0.0,0.74
747,"AHM-CS-53","2003-04","Gujarat","24","Gandhinagar","446","NHB","Through NABARD","M/s Mansrovar Cold Storage","Vill. Ridrol, Tal. Mansa","Completed",0.0,34.35
748,"AHM-CS-67","2003-04","Gujarat","24","Anand","440","NHB","Through NABARD","M/s Amar Cold Storage (Modernisation)","Tal Anand","Completed",0.0,4.21
749,"AHM-CS-66","2003-04","Gujarat","24","Kheda","450","NHB","Through NABARD","M/s Kalika Cold Storage","Tal. Nadia ","Completed",0.0,20.23
750,"AHM-CS-65","2003-04","Gujarat","24","Gandhinagar","446","NHB","Through NABARD","M/s Khambhalia Cold Storage (Expansion )","Jam Khambhalia","Completed",0.0,4.69
751,"AHM-CS-68","2003-04","Gujarat","24","Ahmadabad","438","NHB","Through NABARD","M/s Mothershree Cold Storage Pvt. Ltd.","Naroda","Completed",0.0,42.0
752,"AHM-CS-69","2003-04","Gujarat","24","Ahmadabad","438","NHB","Through NABARD","M/s Hapa Cold Storage (Expansion - II )","GIDC, Naroda","Completed",0.0,17.21
753,"AHM-CS-70","2003-04","Gujarat","24","Banas Kantha","441","NHB","Through NABARD","M/s Vishwakarma Cold Storage","Deesa","Completed",0.0,39.16
754,"AHM-CS-71","2003-04","Gujarat","24","Gandhinagar","446","NHB","Through NABARD","M/s Surat Agro Cold Storage","Antroli, Tal. Palsana","Completed",0.0,25.81
755,"AHM-CS-72","2003-04","Gujarat","24","Ahmadabad","438","NHB","Through NABARD","M/s Mothershree Cold Storage ( Expansion Programme)","Naroda","Completed",0.0,7.5
756,"AHM-CS-126","2003-04","Gujarat","24","Banas Kantha","441","NHB","Through NABARD","Vaibhav Cold Storage","Bhoyan, Tal. Deesa","Completed",0.0,37.53
757,"AHM-CS-175","2004-05","Gujarat","24","Gandhinagar","446","NHB","Through NABARD","M/s Vinod Cool Stores Pvt. Ltd. ( Expansion Programme )","Limbadia, Ahmedabad - Himmatnagar Highway","Completed",0.0,17.88
758,"24GJ20040000130","2004-05","Gujarat","24","Rajkot","457","NHB","NHB","Saurashtra Canning and Cold Storage Co. Rajkot","Rajkot(Gujrat)","Completed",0.0,1.12
759,"24GJ20040000131","2004-05","Gujarat","24","Rajkot","457","NHB","NHB","Vedmata Cold Storage Pvt. Ltd","Rajkot, Gujarat","Completed",0.0,5.51
760,"AHM-CS-177","2004-05","Gujarat","24","Banas Kantha","441","NHB","Through NABARD","M/s Tirupati Cold Storage Pvt Ltd. at Ta. Deesa, District - Banaskantha","at Ta. Deesa, District - Banaskantha","Completed",0.0,50.0
761,"AHM-CS-178","2004-05","Gujarat","24","Gandhinagar","446","NHB","Through NABARD","M/s Parmeshwar cold storage pvt. ltd.","At Block no. 119, Vill. Paliaya, Tal Dehgam, Gandhinagar ","Completed",0.0,49.64
762,"AHM-CS-180","2004-05","Gujarat","24","Banas Kantha","441","NHB","Through NABARD","M/s Mahalaxmi CS Pvt Ltd","At R.S. No. 208/P Mauje Rajpur, Tal Deesa, Bansakantha ","Completed",0.0,13.88
763,"AHM-CS-179","2004-05","Gujarat","24","Banas Kantha","441","NHB","Through NABARD","M/s Rajeshwar Cold Storage Pvt. Ltd.","At R.T.O. Check Post, Akhol Moti, Dhanera Road, Deesa, Bansakantha ","Completed",0.0,50.0
764,"AHM-CS-182","2004-05","Gujarat","24","Banas Kantha","441","NHB","Through NABARD","M/s Apeshwar Cold Storage Pvt. Ltd.","At R.T.O. Check Post, Akhol Mot, Deesa, Bansakantha ","Completed",0.0,45.47
765,"AHM-CS-181","2004-05","Gujarat","24","Banas Kantha","441","NHB","Through NABARD","M/s Pooja CS Pvt Ltd","At R.S. No. 111-P.1 & 112/2 P.1 Mauje Bhoyan, Deesa, Bansakantha","Completed",0.0,50.0
766,"AHM-CS-183","2004-05","Gujarat","24","Banas Kantha","441","NHB","Through NABARD","M/s P. K. Cold storage","At R.S. No. 97/AP/2 Mauje Malgadh Radhanpur Road, Deesa, Banaskantha","Completed",0.0,49.43
767,"24GJ20050000133","2005-06","Gujarat","24","Ahmadabad","438","NHB","NHB","Kissan Cold Storage","Opp. Laxminarayan Petrol Pump, Near Chehar Mataji's Temple, Vill-Changodar, Taluka-Sanand, Dist-Ahmedabad (Gujarat)","Completed",0.0,18.49
768,"24GJ20050000132","2005-06","Gujarat","24","Rajkot","457","NHB","NHB","Raja Cold Storage","Plot No. 711-712, Gujarat Gas Main Road, Lodhika, GIDC State, Metoda, Rajkot(Gujarat)","Completed",0.0,8.35
769,"AHM-CS-176","2005-06","Gujarat","24","Gandhinagar","446","NHB","Through NABARD","M/s Mother Masala Cold Storage Pvt. Ltd.","Hapa, District - Jamnagar","Completed",0.0,22.29
770,"AHM-CS-184","2005-06","Gujarat","24","Ahmadabad","438","NHB","Through NABARD","M/s Sachin Cold Storage","Plot no. 16 & 17 Aslali, Ta. Daskoi, Dist. - Ahmedabad","Completed",0.0,20.6
771,"AHM-CS(NHM)-185","2005-06","Gujarat","24","Banas Kantha","441","NHB","Through NABARD","M/s Ganapati Cold Storage","At. Shamsherpura, Tal. Dessa, Dist. Banaskantha","Completed",0.0,50.0
772,"AHM-CS(NHM)-186","2006-07","Gujarat","24","Porbandar","456","NHB","Through NABARD","M/s Evergreen Agro Cold Storages Pvt. Ltd","at Plot no. 295, GIDC Estate, Porbandar","Completed",0.0,3.35
773,"AHM-CS(NHM)-188","2006-07","Gujarat","24","Kheda","450","NHB","Through NABARD","M/s Bhagyalaxmi Cold Storage","at Survey no. 124, Village Navagam, Ta Kapadvanj, Dit Kheda","Completed",0.0,31.58
774,"AHM-CS(NHM)-187","2006-07","Gujarat","24","Gandhinagar","446","NHB","Through NABARD","M/s Rameshwar Cold Storage Pvt. Ltd","at Block No. 895, Survey no. 724, Moje-Adalaj, Ta & Dist Gandhinagar","Completed",0.0,22.46
775,"AHM-CS(NHM)-189","2006-07","Gujarat","24","Banas Kantha","441","NHB","Through NABARD","Kedarnath Cold Storage","at & Post Kansari, Tharad Hiway, Ta Deesa Dist Banaskantha","Completed",0.0,50.0
776,"AHM-CS(NHM)-190","2006-07","Gujarat","24","Banas Kantha","441","NHB","Through NABARD","Radhey Cold Storage","at & Post Samsherpura, Tharad Hiway, Ta Deesa Dist Banaskantha","Completed",0.0,50.0
777,"AHM-CS(NHM)-191","2006-07","Gujarat","24","Banas Kantha","441","NHB","Through NABARD","APMC Deesa","APMC Deesa","Completed",0.0,25.0
778,"AHM-CS(NHM)-192","2006-07","Gujarat","24","Gandhinagar","446","NHB","Through NABARD","Maruti Ice and Cold Storage Pvt Ltd","S no. 155, Block no. 131, at & Post Dashrath, Tal & Dist Baroda","Completed",0.0,4.72
779,"AHM-CS(NHM)-193","2006-07","Gujarat","24","Surat","459","NHB","Through NABARD","Uma Akash Agro Pvt Ltd","Plot no. 359 to 388, Jai Radhey Ind. Estate, Bhandora-Sachin, Surat","Completed",0.0,40.26
780,"24GJ20070000134","2007-08","Gujarat","24","Gandhinagar","446","NHB","NHB","Shree Prabhukishan Agro Products (P) Ltd.","Kalipura, Sampa Road, Taluk - Dehgam, District Gandhinagar","Completed",0.0,10.31
781,"AHM-CS(NHM)-194","2007-08","Gujarat","24","Kheda","450","NHB","Through NABARD","M/s Manibhai Zaverbhai Patel Co. Cold Storage ( M Z Cold storage)","at Kanjari Ta Nadiad ","Completed",0.0,3.04
782,"AHM-CS(NHM)-195","2007-08","Gujarat","24","Anand","440","NHB","Through NABARD","Vimal Cold Storage at Boriavi, Ta & dist Anand","at Boriavi NH-8, Boriavi, Ta & Dist Anand","Completed",0.0,7.24
783,"AHM-CS(NHM)-197","2007-08","Gujarat","24","Banas Kantha","441","NHB","Through NABARD","Sharneshwar Cold Storage","at & Po Kumpat, Radanpur Rd, Ta Deesa Dist Banaskantha","Completed",0.0,25.0
784,"AHM-CS(NHM)-196","2007-08","Gujarat","24","Banas Kantha","441","NHB","Through NABARD","Shivsagar Cold Storage","at dama Po. Rampura, Tharad highway, Ta Deesa,, Dist banaskantha","Completed",0.0,25.0
785,"AHM-CS(NHM)-198","2007-08","Gujarat","24","Gandhinagar","446","NHB","Through NABARD","Shiv Shakti Cold Storage","at Vill Sampa Ta Dehgam","Completed",0.0,15.45
786,"AHM-CS(NHM)-199","2007-08","Gujarat","24","Gandhinagar","446","NHB","Through NABARD","Amardeep Cold Storage","at Sampa ta Dehgam","Completed",0.0,22.56
787,"AHM-CS(NHM)-200","2007-08","Gujarat","24","Banas Kantha","441","NHB","Through NABARD","Mahadev Cold Storage","at malgadh, Radhanpur Rd. Ta Deesa","Completed",0.0,20.78
788,"AHM-CS(NHM)-202","2007-08","Gujarat","24","Kheda","450","NHB","Through NABARD","Krishna Cold Storage","at Navagam Ta Kapadvanj","Completed",0.0,9.06
789,"AHM-CS(NHM)-201","2007-08","Gujarat","24","Banas Kantha","441","NHB","Through NABARD","Radhey Shyam Cold Storage","at Jarapura, Tharad Rd., Ta Deesa","Completed",0.0,24.45
790,"AHM-CS(NHM)-205","2007-08","Gujarat","24","Banas Kantha","441","NHB","Through NABARD","Rajaram Cold Storage","at R S No. 33/1 P-1, Akhol (Moti), Deesa","Completed",0.0,25.0
791,"AHM-CS(NHM)-203","2007-08","Gujarat","24","Banas Kantha","441","NHB","Through NABARD","Shree Ram Cold Storage","at R S No. 76/1 P-1, Akhol (Moti), Deesa","Completed",0.0,25.0
792,"AHM-CS(NHM)-204","2007-08","Gujarat","24","Banas Kantha","441","NHB","Through NABARD","Vinayak Cold Storage","at R S No. 17/1 P-1, Po. Jorapura, Deesa","Completed",0.0,25.0
793,"AHM-CS(NHM)-207","2007-08","Gujarat","24","Banas Kantha","441","NHB","Through NABARD","Amarnath cold Storage","at R S plot no. 50 P Akhol, Radhanpur Road, Ta Deesa","Completed",0.0,25.0
794,"AHM-CS(NHM)-206","2007-08","Gujarat","24","Banas Kantha","441","NHB","Through NABARD","Ramdev Cold Storage","at R S Plot No. 28 P-1, Po- Jorapura, ta Deesa","Completed",0.0,18.63
795,"24AGJ0004186","2007-08","Gujarat","24","Surat","459","NHB","NHB","Neel Post Harvest Centre Prop. Rajeshbhai Dahyabhai Parmar","At: Tundi Ta: Palsana Dist: Surat.","Completed",19.81,3.9
796,"AHM-CS(NHM)-209","2008-09","Gujarat","24","Sabar Kantha","458","NHB","Through NABARD","Mohanpur Cold Storage","at Mohanpur ta Yalod","Completed",0.0,16.06
797,"AHM-CS(NHM)-208","2008-09","Gujarat","24","Sabar Kantha","458","NHB","Through NABARD","Shree Umiya Cold Storage","at Chapariya, Survey No. 731/2, Dehgam Road, Ta Bayad","Completed",0.0,20.04
798,"AHM-CS(NHM)-213","2008-09","Gujarat","24","Banas Kantha","441","NHB","Through NABARD","Giriraj Cold Storage","ta Deesa","Completed",0.0,22.49
799,"AHM-CS(NHM)-211","2008-09","Gujarat","24","Banas Kantha","441","NHB","Through NABARD","Himalaya Cold Storage","ta Deesa","Completed",0.0,25.0
800,"AHM-CS(NHM)-212","2008-09","Gujarat","24","Banas Kantha","441","NHB","Through NABARD","Nurlidhar Cold Storage","ta Deesa","Completed",0.0,25.0
801,"AHM-CS(NHM)-210","2008-09","Gujarat","24","Rajkot","457","NHB","Through NABARD","Tha Tulsidas Ramjibhai","at Kuwadwa","Completed",0.0,23.0
802,"AHM-CS(NHM)-214","2008-09","Gujarat","24","Banas Kantha","441","NHB","Through NABARD","Jay Bajrang Cold Storage","At Akhol, Nr. Deesa, Distt:Banaskantha","Completed",0.0,25.0
803,"AHM-CS(NHB)-216","2008-09","Gujarat","24","Gandhinagar","446","NHB","Through NABARD","M/s Jay Ambe Himghar Pvt.Ltd.","JayAmbe himgir Pvt. Ltd., Vill:Sampa, Dehgam, Gandhinagar","Completed",0.0,45.33
804,"AHM-CS(NHB)-215","2008-09","Gujarat","24","Gandhinagar","446","NHB","Through NABARD","M/s Vinayak Cold Storage Pvt. Ltd.","Vill: Ahmedpur, Dehgam, Gandhnagar","Completed",0.0,41.96
805,"AHM-CS(NHB)-217","2008-09","Gujarat","24","Ahmadabad","438","NHB","Through NABARD","M/s Kalika CS","nan","Completed",0.0,9.82
806,"24AGJ0006120","2008-09","Gujarat","24","Surat","459","NHB","NHB","Mrs.Laxmiben Sureshbhai Parmar","At : Tundi Ta : Palsana Dist : Surat","Completed",18.75,3.62
807,"AHM-CS(NHB)-219","2009-10","Gujarat","24","Banas Kantha","441","NHB","Through NABARD","M/s Ravi Cold Storage","Kant Road, At:Deesa, Distt:Banaskantha","Completed",0.0,21.4
808,"AHM-CS(NHB)-218","2009-10","Gujarat","24","Gandhinagar","446","NHB","Through NABARD","M/s Shivam Cold Storage","Vill: Sampa, Tal:Dehagam, Distt:Gandhinagar","Completed",0.0,50.0
809,"24AGJ0001979","2009-10","Gujarat","24","Sabar Kantha","458","NHB","NHB","Kalpeshkumar Amrutbhai Patel,","A/p - Voravav (Mudeti), Tal- Idar, Dist- Sabarkantha (Gujarat)","Completed",21.0,3.73
810,"24AGJ0001589","2009-10","Gujarat","24","Gandhinagar","446","NHB","NHB","Palaj Agrotech M/S Mr. Smeer Vyas","Near ONGC, Village - Palaj, Distt - Gandhinagar (Gujarat)","Completed",82.0,9.15
811,"AHM-CS(NHB)-220","2010-11","Gujarat","24","Gandhinagar","446","NHB","Through NABARD","M/s Parasmani Cold Storage Pvt. Ltd.","Block No.521/1, Babalpura, Village : Sampa, Rakhiyal Road, Dehgam, Gandhinagar","Completed",0.0,25.0
812,"AHM-CS(NHB)-221","2010-11","Gujarat","24","Gandhinagar","446","NHB","Through NABARD","M/s Tirupati Cold Storage","R S No.353,354, Sub Plot No.A, AT Boru, Tal : Mansa, Gandhinagar","Completed",0.0,0.0
813,"24AGJ0008625","2010-11","Gujarat","24","Narmada","452","NHB","NHB","Amalsad Vibhag Vividh Karyakari Sahakari Khedut Madali Ltd.","Village-Amalsad, Taluka-Gandevi, Distt.-Navsari (Gujarat)","Completed",146.76,50.0
814,"24AGJ0CS000003","2013-14","Gujarat","24","Sabar Kantha","458","NHB","NHB","Balram FreshTech Private Limited.","Village- Borvai (Vadagam), Taluka- Dhansura, Distt.- Sabarkantha (Gujarat) ","Completed",1149.0,209.16
815,"24AGJ0009125","2014-15","Gujarat","24","Anand","440","NHB","NHB","Amar Cold Storage","Village - Lambhvel, Taluka - Anand, Dist - Anand (Gujrat)","Completed",64.5,19.2
816,"24AGJ0009089","2014-15","Gujarat","24","Narmada","452","NHB","NHB","Balaji Fruit Agency","Village-Viraval, Taluka & Dist-Navsari (Gujarat)","Completed",20.99,5.31
817,"24AGJ0009073","2014-15","Gujarat","24","Bharuch","442","NHB","NHB","Rameshbhai Haribhai Savaliya","Village- Pathar, Taluka- Valiya, Dist.- Bharuch (Gujarat)","Completed",41.5,5.73
818,"24AGJ0CS000002","2014-15","Gujarat","24","Mahesana","451","NHB","NHB","StoreEx Solution Pvt.Ltd.","Village- Amipura (Ambasan), Taluka- Mehsana, Distt.- Mehsana (Gujarat)","Completed",2316.0,612.88
819,"24AGJ0009033","2014-15","Gujarat","24","Narmada","452","NHB","NHB","Gadat Vibhag Vividh Karyakari Sahakari","Village-Gadat, Taluka-Gandevi, Dist-Navsari (Gujarat)","Completed",175.38,37.98
820,"24AGJ0009100","2015-16","Gujarat","24","Dohad","445","NHB","NHB","Guru Krupa Kela Bhandar","Village- Dahod, Taluka- Dahod, Distt.- Dahod (Gujarat)","Completed",117.63,24.61
821,"24AGJ0CS000007","2015-16","Gujarat","24","Sabar Kantha","458","NHB","NHB","Vishnu Cold Storage","Village-Bhadresar, Taluka-Idar, Dist-Sabarkantha (Gujarat)","Under Implementation",689.08,175.2
822,"24AGJ0009266","2016-17","Gujarat","24","Kachchh","449","NHB","NHB","Harish Govind Gorasiya","Village- Kera, Taluka- Bhuj, Distt.- Kutch (Gujarat)","Completed",137.76,50.0
823,"24AGJ0CS000006","2016-17","Gujarat","24","Gandhinagar","446","NHB","NHB","RUSHI COLD STORAGE","Village-Kharna, Taluka-Mansa, Dist-Gandhinagar (Gujarat)","Completed",649.16,167.62
824,"24AGJ0009570","2016-17","Gujarat","24","Navsari","453","NHB","NHB","Amalsad Vibhag vividh Karyakari Sahakari Khedut Mandali Ltd.","Village-Kachholi, Taluka-Gandevi, Dist-Navsari (Gujarat)","Completed",125.72,16.67
825,"24AGJ0CS000005","2016-17","Gujarat","24","Sabar Kantha","458","NHB","NHB","BRP Agricare","Village- Ghadkan, Taluka- Prantij, Distt.- Sabarkantha (Gujarat)","Completed",687.89,74.88
826,"24AGJ0009626","2016-17","Gujarat","24","Rajkot","457","NHB","NHB","Shakti Agro Product","Village-Navi Sakali, Taluka-Jetpur, Dist-Rajkot (Gujarat)","Completed",244.0,39.59
827,"24AGJ0CS000009","2016-17","Gujarat","24","Arvalli","672","NHB","NHB","Aastha Hightech Storage LLP","Village- Ramos, Taluka- Dhansura, Distt.- Aravali (Gujarat)","Completed",2002.0,160.0
828,"24AGJ0CS000008","2016-17","Gujarat","24","Valsad","462","NHB","NHB","Siddharth Agro Industries","Village- Parnera, Taluka- Valsad, Distt.- Valsad (Gujarat) ","Completed",897.47,133.37
829,"24AGJ0CS000021","2018-19","Gujarat","24","Gandhinagar","446","NHB","NHB","Nilkanth Cold Storage","Village-Kadjodara, Taluka-Dahegam, Dist-Gandhinagar (Gujarat)","Completed",598.32,130.2
830,"06HA20000000104","2000-01","Haryana","6","Sonipat","75","NHB","NHB","Bindlish Cold Storage Pvt. Ltd.","Haryana","Completed",0.0,18.0
831,"06HA20000000103","2000-01","Haryana","6","Sonipat","75","NHB","NHB","Sabharwal Foods Industries Pvt. Ltd","Sonepat (Haryana)","Completed",0.0,17.31
832,"06HA20010000105","2001-02","Haryana","6","Sonipat","75","NHB","NHB","G.J. Cold Storage (P) Ltd.","Kundli (HR)","Completed",0.0,41.84
833,"06HA20010000106","2001-02","Haryana","6","Kurukshetra","68","NHB","NHB","Jagdamba Cold Store, Indri Road","Ladwa (HR)","Completed",0.0,13.28
834,"06HA20010000107","2001-02","Haryana","6","Sonipat","75","NHB","NHB","R.P. Cold Storage (P) Ltd.","Kundli (HR)","Completed",0.0,22.09
835,"06HA20010000109","2001-02","Haryana","6","Sonipat","75","NHB","NHB","Shiv Shakti Cold Storage (P) Ltd.","Kundli (HR)","Completed",0.0,31.22
836,"06HA20010000108","2001-02","Haryana","6","Sonipat","75","NHB","NHB","Vijay Cold Storage (P) Ltd.","Kundli (HR)","Completed",0.0,32.67
837,"06HA20020000111","2002-03","Haryana","6","Sonipat","75","NHB","NHB","ARSN Agro Pvt. Ltd.","Sonepat (HR)","Completed",0.0,42.81
838,"06HA20030000112","2003-04","Haryana","6","Sonipat","75","NHB","NHB","Avalanche Cold Storage Pvt. Ltd.","Sonepat (HR)","Completed",0.0,50.0
839,"06HA20040000113","2004-05","Haryana","6","Sonipat","75","NHB","NHB","Neelam cold Storage, Kundli, Sonipat, Haryana","Sonipat(Haryana)","Completed",0.0,6.41
840,"06HA20040000114","2004-05","Haryana","6","Kurukshetra","68","NHB","NHB","Shankar Lal & Sons, Dis-Kurukshetra, Haryana","Kurukshetra(Haryana)","Completed",0.0,8.34
841,"06HA20060000115","2006-07","Haryana","6","Sonipat","75","NHB","NHB","J.M. Cool House P. Ltd.","Sonepat(Haryana)","Completed",0.0,15.5
842,"06HA20070000116","2007-08","Haryana","6","Sonipat","75","NHB","NHB","J.M. Cool House Pvt.Ltd.","Sonipat","Completed",0.0,11.95
843,"06HA20090000117","2009-10","Haryana","6","Karnal","67","NHB","NHB","HAFED Cold Storage, Karnal","Karnal, Haryana","Completed",0.0,4.99
844,"06HA20090000118","2009-10","Haryana","6","Sonipat","75","NHB","NHB","M.C.Luthra Ice & Cold Storage,","Kundli, Sonipat, Haryna","Completed",0.0,5.08
845,"06AHR0CS000006","2012-13","Haryana","6","Sonipat","75","NHB","NHB","Seven Star Cold Storage Pvt. Ltd.","Village-Nathupur, Taluka-Kundli, Dist-Sonipat (Haryana)","Completed",632.5,132.78
846,"06AHR0CS000015","2012-13","Haryana","6","Karnal","67","NHB","NHB","Arkaaye Cold Storage","Village-Alipur Khalsa, Taluka-Gharaunda, Dist-Karnal (Haryana)","Completed",840.0,120.0
